business_id,topic_1,topic_2,topic_3
EzZF5s0bmDcJKifpTdmiXA,0.3585532915945943,0.49740738790341127,0.4872448413071266
KrY9xTnZtUVGMeSF4D7okA,0.36992520576684546,0.29814313866104836,0.44775887680628434
VkwCZbDXuI1PlWu0rrwEgw,0.39776701691312116,0.5909069525054463,0.46416795498313035
BReKNnKFYRld2decRXM4Og,0.3600830658484839,0.5150970531747008,0.33099266665363736
CF3VHl1l92MX8hwxFUDrDw,0.35087364994379694,0.37768109134552397,0.4375275061919924
83Z5ssEW0LGZmtgKaLBT9w,0.18846394284106555,0.1967771165623697,0.4653573856702542
FBUOH4QV-W5b4Spoq7KJgQ,0.4942684648477455,0.8507885667936037,0.6109300802244869
Nx1fjVoriTpPf2-pO8At8A,0.0,0.0,0.0
Mazv23vyWF_86RjTfLJcSg,0.2863852873208075,0.4934608093419926,0.2976701046750148
P8rCpSJ4uWNE__pypJsgGA,0.435419495164584,0.3201971451342345,0.473193635655395
t2Eg5QRgLg9DWUeMe_Duhg,0.84760733684403,0.5527203415435176,0.5758894402344418
koG71Tmokay8IBV580qanA,0.5479314567962474,0.4552381525608864,0.4845292367774598
rN3XnPL0hqE-7qBUfAbCTg,0.5920362149338501,0.6597387625935388,0.6259479161599266
MyDFeohoa_sZoQHycqO3wA,0.1494963183715921,0.15007433420104338,0.4529311943129939
8xCiibfgqy-8xpCWEaguqg,0.27776456812720307,0.4003516382456936,0.4520142810675226
mT8Ej8sKFJoIa5G0Vl4AKA,0.18975904716235134,0.20213411537218134,0.4487838356380695
rH39kXAevsXeD-2HsmLj2g,0.3332895046542012,0.3632431304670656,0.2281593375826621
uyyvYlZRUK3UWMDllDRWxA,0.924654533113092,0.736775694655292,0.5444490221721665
VLWmzZ3_46cmL8Quc4rgsA,0.20949590109009797,0.26926113265768026,0.36879453638595755
-RC3XAvgvb-vwS3JtYPRHg,0.4909083579039805,0.4818962296783766,0.43779825224627045
SfHE6qK6dT7wxX-Ow82tRg,0.23627625480087364,0.5167296993450161,0.45186387183400484
n1j9BZZ4MxK1H9Z-BHAkUQ,0.7192850047572883,0.5944182082645313,0.5117474051393278
y32M2Hkr7GsUqGG6KwOhZw,0.24838187048842564,0.4161214620759997,0.1747486206124254
FaGtI6jCKR650CiERd0Q_w,0.382839827218883,0.5930502471125204,0.36290577072380537
