business_id,topic_1,topic_2,topic_3,topic_4
hDD6-yk1yuuRIvfdtHsISg,0.269929873828792,0.11621920873949082,0.19675674886986583,0.16758499070528218
Ul6JwluSTm12PVDIqnNaTg,0.12857890966106997,0.19296476428735074,0.45527281212434656,0.25870499960941246
z15C-dJodOlPO8bMBl6F8g,0.3602057134227249,0.22588085756060824,0.23800572110209212,0.2743697356902711
ejaUQ1hYo7Q7xCL1HdPINw,0.24511227436165178,0.21597916014003438,0.12931197215152873,0.18741934299990826
JrrY4v21k7_qYxIidhi-aw,0.18424801283168685,0.25240531747561284,0.5065708324332414,0.17017209287586782
ZMx9_sQydPUj5KGvcm73Sw,0.20159554061974594,0.3045334896936197,0.3151290033402234,0.25385516202974745
X-aqEYlXcWQj0fp6aGDP8A,0.22548717912531396,0.21246340751935444,0.11151600678404708,0.5002874994061588
AKQbrvRBZvU5kB9Ut4gVkg,0.2205267284733107,0.35912251345388346,0.2673916698528312,0.17730249141416787
O1ird5yRyuDFnOmYu90OoA,0.23929419095881013,0.42974501331440823,0.19788719390365836,0.15619017038410787
CipRVpM7YzsE-9U9wf2YNQ,0.19837166931444092,0.2873642434682334,0.2890464228131619,0.25699999138339663
93otbGHE0s0m-lU1osvg9w,0.3406569599434295,0.11633864542338103,0.27765439165016215,0.17531215628306396
NCQsIvDF9e-bNyPwKJOUBg,0.21473851372097447,0.26034228108660296,0.30539519680976235,0.20352525728526588
zuUWG7OdMv6awFRYhEYT5Q,0.1911009283036627,0.2672165474772839,0.08336682006501742,0.24662104535049906
Lyn5sYu1rfxdmntbaOoZJg,0.18011457951732965,0.3980673434463279,0.08941542175537985,0.21342583579094018
j3IEZP4nQAt7fkxmerLMbA,0.1562875702487239,0.19911090243096116,0.23659145449680669,0.4101852888711641
-1xCh7Cocn6IwFzhELyohA,0.24108612521458578,0.33179411753480165,0.18436296739568747,0.24510945663142272
eN9LTbC9QLvkMcDtKeO9dQ,0.9956385202870346,0.9131260941599328,0.5828720396348622,0.6935857429478343
7l-CCyNnvT86GMR5EtYjog,0.14850203275065135,0.13347133325155072,0.2610853166539661,0.3329335023453521
w1c_Uy60LSDiMsSjAsEqkw,0.16390864483205234,0.11722132277151126,0.17846843630046497,0.408962870468156
Tn4PV88E9jlC2xhvqN8zAA,0.24560303020268992,0.24047039868508543,0.27968133757634495,0.3737047886831689
qNSZpcyoF7OM6g49sAFUcQ,0.15197192346188104,0.29845408437372195,0.1251764701245541,0.3667372365721303
n1iMWC_h0Wr74MLewBZv_Q,0.3334910845208524,0.5093208311581077,0.3979856581766716,0.7051250724580884
rgohunOzrrrgdZcxkQzCgQ,0.8510768918069784,0.6585981727269407,0.5308778311688395,0.5947240435343574
zxSfGIhK3hH3vVz_pS5eaA,0.1445061173888311,0.22114435577210112,0.21995305046457275,0.430603295118619
