business_id,topic_1,topic_2,topic_3,topic_4,topic_5
N0apJkxIem2E8irTBRKnHw,0.13185468722332266,0.14061027819005023,0.2579544233351899,0.15476844251144856,0.10354334094242595
aNe8ofTYrealxqv7VtFTuw,0.10252282455178487,0.14724511941981935,0.3515789802712146,0.07790661771160438,0.16897065796878677
iw9p7E4bMe1YW-APcFGjgQ,0.1600101463423113,0.15036594233703404,0.16539151031013366,0.16802226706223977,0.183758648055454
w4yq1IRk0DHQE995giqjGg,0.10602973638161536,0.18104673074529462,0.11909379848186229,0.13402010250976848,0.39204282784539046
N5CL5HLS6lyltw-OjjBrOw,0.08014832908768159,0.23388026979924964,0.1992506896535637,0.1361102041945244,0.16942269301563787
UYh1N1xQhOh-a7nX92xPzQ,0.1698022284090498,0.1013671982941774,0.11387413827792106,0.09945384951064477,0.28889109591581097
0Hcks5q-DgJbDlmEWolx4A,0.13470999128814318,0.14962112870925431,0.42246335235244725,0.22254340671520426,0.1691926752266001
kgw8nBO9ZMRhukfnJd6bxg,0.13543237040088485,0.2314313771802103,0.12656649324365102,0.22021974428190702,0.19951070435847174
7hXWFtmoJHz63SD8k56a_Q,0.28240553629080484,0.3468509865005119,0.22650141685240877,0.3569707368636351,0.3205998362209626
RhEvP5flF6KoPriMHmVYGg,0.20103083978114325,0.12102133418958297,0.16767029939434683,0.15861786215032167,0.20850283458369973
BnpuVvPy3sfLlkqKCx6Xnw,0.2174598820864395,0.09909671498677493,0.14306514962538897,0.11385102667191496,0.21097260831213413
FhIeCF6QrsLaRvAeu0oEPQ,0.23478207623943953,0.2032441787853185,0.265324936888496,0.13041803988383008,0.11450608319681699
JRh14J_be0jl7Wbt412vDA,0.3196820503796089,0.16254174496468426,0.14426372934138357,0.21232633962378658,0.2897951312379851
XhUec_6-kgPy1_ZYUrzvPQ,0.23867060849017058,0.3178498164444647,0.41751035069448317,0.2812435851270852,0.4779222631881012
PbyqDJf815zRn-7p6vYpAQ,0.209591296363521,0.1831749912162395,0.07696081389460135,0.1986015348463906,0.1612513976766985
VGWEpMEkzQopS5lUNd06Sw,0.18643309819292683,0.13508077146074654,0.08468551630238276,0.14255999174908449,0.13628455246483084
pHJu8tj3sI8eC5aIHLFEfQ,0.14861287331926715,0.23447733321177644,0.07098255422689179,0.18941319255480032,0.206327895318215
