topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight,topic_5words,topic_5weight
table,5.234150088115737,time,3.3075245843312167,bar,3.841722099728934,wait,2.9856673929718225,chicken,1.5810202163701048
server,1.7794764538339078,burger,2.7323968487804646,service,1.9429409756588987,minutes,2.237042065153877,fry,1.356449507430719
time,1.3988039109443025,experience,1.2271960046187917,staff,1.288744686104858,drink,2.205653311936358,service,1.2865747350688452
ask,1.16467385219888,wife,0.996142646173854,sit,1.14688194028914,waitress,1.8309123780026173,wing,1.2187139779717409
sit,0.9422320064179416,review,0.898669624029932,time,0.9087676573285015,ask,1.7192066490108322,taste,0.9808975267603293
clean,0.8332831201279479,half,0.7026695020500322,manager,0.8685676459241866,tell,1.5192382051166173,sauce,0.9736556532241762
minutes,0.8320027746352543,know,0.5500517802143868,bartender,0.683077146322426,manager,0.9413083279605972,look,0.9383480147042411
