topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight,topic_5words,topic_5weight
table,12.732662328537513,taste,3.965141677145462,drink,11.334464019690296,time,13.326302612167936,ask,11.560398843113264
wait,10.01760209157445,chicken,3.5647880448400535,bar,10.308869961734406,service,9.305612148961831,tell,6.732103491984789
minutes,7.035839406935826,fry,3.087956732873626,bartender,2.762453402662654,experience,1.3107094745261036,manager,4.783451092515415
seat,4.082073723936217,cheese,2.880676199516193,sit,2.1691332262317093,customer,1.3000602256236282,server,2.6024584346192166
sit,3.7614486115233086,menu,2.8521653482325324,night,1.6685336942413713,location,1.072511519349389,leave,2.3983021293919853
server,2.675251462741158,look,2.8031055629966146,beer,1.6599830665192516,staff,1.0069244446159094,know,2.3463750669270107
host,2.437538937097805,salad,2.4727351693851682,look,1.5784274987605675,long,0.9666034370117564,waitress,2.2541825592810296
