topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight
table,7.318160212777609,fry,3.849334795635559,bar,7.581956893037111,time,8.758037909324889
wait,6.457447135749204,sandwich,3.550248626824093,drink,6.441183898360244,service,3.2959364118089276
minutes,4.810949325220429,taste,2.7956578427793786,bartender,2.048673854720156,experience,1.1040897096292457
ask,3.8054618949453496,burger,2.5608384101037633,beer,1.6886663407989444,manager,0.9857368495385314
waitress,2.82873058848509,cheese,2.5045824082052612,service,1.3173827302846384,server,0.9106587688215748
tell,2.7932379102160283,menu,2.0796452834139636,sit,1.3015766517479403,tell,0.8308251892007342
seat,2.506140967935145,chicken,1.9337875757559435,night,1.057199939604537,know,0.7823895271651884
