topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight,topic_5words,topic_5weight
table,12.029219988805197,fry,3.886273234508964,drink,9.925584313729578,time,8.688097181140222,ask,8.505694349737396
wait,6.56423725191533,taste,3.7615946757712337,bar,6.193352502779196,service,8.059445982256756,server,4.254018569016838
seat,3.4299963071125026,chicken,3.6816371418027845,beer,1.8463839447341046,wait,1.5113239793005875,tell,4.170431999709228
minutes,3.103288971586179,dish,2.787331949903667,night,1.797890082127952,experience,1.3371025028327321,bill,3.4046692672569736
sit,2.0644827897548956,menu,2.694912823431482,look,1.2992181444717361,staff,1.0792993337771866,manager,2.4429421025850595
host,1.8424517120324186,wing,2.539565238843168,friends,1.2258708002878815,slow,0.9355579581137005,leave,2.1033423865263083
arrive,1.40855295820922,sauce,2.378632587585898,bartender,1.1001076861648957,long,0.8909952932290797,waitress,1.967700349759681
