topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight
time,4.820837441113593,chicken,1.84058200268952,bar,4.396158625807742,table,3.455721685199908
wait,3.294404421789761,taste,1.7313887871468872,drink,2.779258589727651,ask,3.265855906328937
minutes,2.8724932774970764,dish,1.5763253233439165,beer,1.4228762928106033,server,1.9035842982349798
service,2.7463601800284763,menu,1.3543458177427043,sit,0.6884530558001593,look,1.4256506191688716
drink,1.584691946630672,cheese,1.349968149731622,bartender,0.6824131755318503,manager,1.0414841318852595
waitress,1.2888772649838303,sauce,1.182269481541956,look,0.6239805701118863,tell,0.8845845636524874
seat,0.9707940382390702,steak,1.156660466611691,know,0.5940797981677136,minutes,0.8824479207963749
