topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight
table,4.1478638500663925,drink,6.770194944936116,fry,2.1150738391714725
ask,3.7123941518972683,bar,4.081436426497038,menu,1.8064062710505828
wait,3.512653664663817,night,1.185688909038165,taste,1.6620286220413383
time,2.9625549694127375,beer,1.0263220821061436,dish,1.6007017380264414
service,2.9233451076159356,bartender,0.9742438826886441,service,1.4809175103454193
minutes,2.719095921974759,pay,0.9246280175900985,burger,1.4680119427460674
waitress,2.418670807827672,leave,0.8473853987596388,chicken,1.396038275452145
