topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight
table,7.773111930048985,taste,2.786855776843319,bar,7.979515572939252,time,9.334918204226495
wait,6.7260913739499255,chicken,2.6457916317298937,drink,7.198501795400091,service,5.038014461094677
minutes,5.031659753277795,fry,2.523362831144986,bartender,1.997257364079425,experience,1.0412245791514494
ask,4.1110010786878375,menu,2.396940173038569,sit,1.6965786091982882,call,0.799104128469688
tell,3.046567956067183,cheese,2.3630736762335314,beer,1.6106288730400808,manager,0.745811923179645
server,2.9654729112131264,sauce,2.0804475430322102,service,1.1157218326378362,slow,0.729136343382976
seat,2.953198955023885,look,1.992985675334136,night,1.0641621928247371,tell,0.6887991858043783
