topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight,topic_5words,topic_5weight
table,10.195355558143854,room,13.264693599885407,drink,14.481711670690595,taste,4.052086264418856,time,11.075636535287764
ask,8.911124354609074,hotel,5.869887468415152,bar,8.536059604278265,fry,3.3145757463597465,club,3.9137315634826404
wait,8.6562691876118,stay,4.695292675632398,bartender,3.1324159452506923,burger,3.039238762147877,tell,2.489211551150947
minutes,6.8434704167755935,call,3.0388088820462733,sit,1.876660927050022,service,2.973359763833617,night,2.3102160750807808
service,5.54765818950293,check,2.8035951154631973,ask,1.4802845586594475,chicken,2.913136277556244,line,2.2512716990270674
tell,4.903599160414269,tell,2.508119055386392,service,1.3068847816797329,menu,2.6795282668108102,vegas,2.105210216004369
server,4.212664111318167,desk,2.333283281031143,look,1.19463871132925,steak,2.509378795954162,pay,1.974651568672108
