topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight,topic_5words,topic_5weight
table,5.20650468968756,menu,2.042692593348469,wing,6.813792565072276,bar,4.28472936437025,time,5.113380833900338
ask,3.6072437345299173,steak,1.9544296359128281,night,1.2966721481734207,beer,3.091922659442322,service,4.946269472230739
server,2.9559493659218883,salad,1.7961555553153987,chicken,0.6694003968523247,drink,2.6483160188481505,server,1.0483548212730966
wait,2.7613569716699065,look,1.6871095540548515,drink,0.5949587048889791,pub,1.102595090294856,wait,0.7343819805889628
drink,2.734688457896832,taste,1.5733299431210046,hot,0.5366300906046509,look,0.7395112224115554,experience,0.6206550080649345
minutes,2.1724590404719133,chicken,1.4649517945546848,sauce,0.5362702638951365,pay,0.7203199205157053,staff,0.6186185943017781
tell,2.068756110492048,fry,1.351090371646875,server,0.4589459019060375,music,0.6629544193331307,slow,0.5474491994440747
