topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight
table,5.693344462846807,fry,3.0355210168250015,bar,7.052927737859449,time,7.531150944501089
wait,4.80132371737641,cheese,2.6816121099007613,drink,3.5183598615676295,service,3.3736825508786743
minutes,4.06556446517929,menu,2.4562213628721716,bartender,2.144567212400098,experience,0.879858345131851
ask,3.469782120068125,taste,2.0326816193951482,beer,1.6967105872187664,staff,0.8239866081904339
drink,3.2867326042254796,burger,1.8722960318400688,sit,0.9571973012564622,before,0.5560329103662789
server,2.7182242189651786,sauce,1.6016184295342286,look,0.909433932910869,know,0.5424672817200196
tell,2.029698284066253,chicken,1.5108147863171975,night,0.8876018378127675,call,0.539421931942309
