topic_1words,topic_1weight,topic_2words,topic_2weight,topic_3words,topic_3weight,topic_4words,topic_4weight
table,7.445627156954906,chicken,2.8922890290299623,drink,9.443054409201448,time,10.209197647016076
wait,6.564566687998013,fry,2.851717651370884,bar,6.2235596770787565,service,4.975444506264576
minutes,6.004822880693908,taste,2.4773112266895594,bartender,1.8015848595180592,experience,1.0604347432029897
ask,4.48071629312563,cheese,2.2943375201797456,ask,1.6244010358364467,staff,0.915076099780174
server,3.25096685843462,menu,2.08846242777951,beer,1.479972696144689,customer,0.8586226287694483
tell,3.249380952915002,sauce,1.9441486934270513,sit,1.2640006240819666,location,0.7587926623959795
seat,2.9960345652141434,salad,1.9401761481336561,service,1.157439054980462,movie,0.7390604064451204
